protein	priority	correlation	p_value	index_in_Model	ratio	slope	prot_abun(max_production)	ref_abun(paxdb)	abun_fold	homolougous_gene	metabolic/secretoy	complex/not	Entry	Entry name	Protein names	Length	Mass	Cross-reference (PaxDb)	Subcellular location [CC]	Function [CC]
YAL044C	-3	-1	0	15	0.468727459688664	-289183.16851093	3.20845926515644e-09	2.5079154178534e-06	0.00127933312356389		metabolic	Glycine decarboxylase multienzyme complex 	P39726	GCV3	Glycine cleavage system H protein, mitochondrial (Glycine decarboxylase complex subunit H)	170	18,793	P39726;	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}.	FUNCTION: The glycine cleavage system (glycine decarboxylase complex) catalyzes the degradation of glycine. The H protein shuttles the methylamine group of glycine from the P protein to the T protein (By similarity). {ECO:0000250, ECO:0000269|PubMed:9020168}.
YAL054C	-4.5	-1	0	17	0.708333333333333	-299284762.591606	8.50850848298299e-12	9.54347966259482e-07	8.91552010775656e-06		metabolic		Q01574	ACS1	Acetyl-coenzyme A synthetase 1 (EC 6.2.1.1) (Acetate--CoA ligase 1) (Acyl-activating enzyme 1)	713	79,141	Q01574;	SUBCELLULAR LOCATION: Microsome {ECO:0000305}. Cytoplasm. Mitochondrion. Nucleus.	FUNCTION: Catalyzes the production of acetyl-CoA. Provides the acetyl-CoA source for histone acetylation in the nucleus. 'Aerobic' isozyme of acetyl-coenzyme A synthetase, which supports growth on nonfermentable carbon sources such as glycerol and ethanol. May be required for assimilation of ethanol and acetate. {ECO:0000269|PubMed:16857587, ECO:0000269|PubMed:8910545}.
YAR015W	-0.5	-1	0	21	0.708333333333333	-1117.70755564594	2.27829446841896e-06	2.82379789414791e-06	0.806819239131998		metabolic		P27616	ADE1	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	306	34,603	P27616;	NaN	NaN
YBL015W	-4.5	-1	0	26	0.708333333333333	-32624735.3816075	7.80532596372819e-11	1.12951915765917e-06	6.91030861300669e-05		metabolic		P32316	ACH1	Acetyl-CoA hydrolase (EC 3.1.2.1) (Acetyl-CoA deacylase) (Acetyl-CoA acylase)	526	58,712	P32316;	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11502169}.	FUNCTION: Presumably involved in regulating the intracellular acetyl-CoA pool for fatty acid and cholesterol synthesis and fatty acid oxidation. It may be involved in overall regulation of acetylation during melatonin synthesis.
YBL020W	-0.5	-1	0	27	0.735356742996254	-1722588.0933469	1.67991415664253e-09	1.84743387651033e-09	0.909323022600283		metabolic		P38206	RFT1	Oligosaccharide translocation protein RFT1 (Requiring fifty-three protein 1)	574	66,211	P38206;	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:11807558}; Multi-pass membrane protein {ECO:0000269|PubMed:11807558}.	FUNCTION: Involved in N-linked oligosaccharide assembly. Required for the translocation of Man(5)GlcNAc(2)-PP-dolichol from the cytoplasmic side to the lumenal side of the endoplasmic reticulum membrane. {ECO:0000269|PubMed:11807558}.
YBL039C	-3.5	-1	0	30	0.708333333333333	-15024.7909182982	1.6948435124225e-07	6.43251588090644e-06	0.0263480657304444	YJR103W	metabolic		P28274	URA7	CTP synthase 1 (EC 6.3.4.2) (CTP synthetase 1) (UTP--ammonia ligase 1)	579	64,710	P28274;	NaN	FUNCTION: Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen.
YBL045C	-1	-1	0	32	0.865198039237576	-873.794789825281	7.64445074392535e-06	3.75230093052875e-06	2.03727016714732		metabolic	Mitochondrial respiratory chain complex III	P07256	COR1	Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome c oxidoreductase core protein 1) (Ubiquinol-cytochrome c reductase 44 kDa protein)	457	50,228	P07256;	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:11502169, ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554}; Peripheral membrane protein {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554}; Matrix side {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554}.	FUNCTION: Component of the ubiquinol-cytochrome c oxidoreductase, a multisubunit transmembrane complex that is part of the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and the ATP synthase. The cytochrome b-c1 complex catalyzes electron transfer from ubiquinol to cytochrome c, linking this redox reaction to translocation of protons across the mitochondrial inner membrane, with protons being carried across the membrane as hydrogens on the quinol. In the process called Q cycle, 2 protons are consumed from the matrix, 4 protons are released into the intermembrane space and 2 electrons are passed to cytochrome c. {ECO:0000305|PubMed:11880631}.
YBL076C	-0.5	-1	0	35	0.800243794463542	-3561.94685175943	1.17740139739883e-06	9.16059181254086e-06	0.128528966413171		metabolic		P09436	ILS1	Isoleucine--tRNA ligase, cytoplasmic (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	1072	122,984	P09436;	SUBCELLULAR LOCATION: Cytoplasm.	NaN
YBL082C	-0.5	-1	0	37	0.735356742996254	-1722588.0933469	1.67991415664253e-09	2.15374415655349e-07	0.00779997081608243		metabolic		P38179	ALG3	Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (EC 2.4.1.258) (Asparagine-linked glycosylation protein 3) (Dol-P-Man-dependent alpha(1-3)-mannosyltransferase) (Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase) (Dolichyl-phosphate-mannose--glycolipid alpha-mannosyltransferase) (HM-1 killer toxin resistance protein)	458	52,861	P38179;	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	FUNCTION: Adds the first Dol-P-Man derived mannose in an alpha-1,3 linkage to Man(5)GlcNAc(2)-PP-Dol. Sensitive to H.mrakii HM-1 killer toxin. {ECO:0000269|PubMed:11308030, ECO:0000269|PubMed:9108275}.
YBL099W	-1	-1	0	40	0.88488439783496	-4984.44989068365	1.6007806672079e-06	7.37059111353862e-06	0.217184842104118		metabolic	Mitochondrial proton-transporting ATP synthase complex	P07251	ATP1	ATP synthase subunit alpha, mitochondrial	545	58,608	P07251;	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:11502169}. Note=Peripheral membrane protein.	FUNCTION: Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Subunits alpha and beta form the catalytic core in F(1). Rotation of the central stalk against the surrounding alpha(3)beta(3) subunits leads to hydrolysis of ATP in three separate catalytic sites on the beta subunits. Subunit alpha does not bear the catalytic high-affinity ATP-binding sites (By similarity). {ECO:0000250}.
YBR004C	-0.5	-1	0	44	0.703497302381317	-24160516.9973577	1.03004059970342e-10	1.58898457772391e-09	0.0648238261178639		metabolic	Glycosylphosphatidylinositol-mannosyltransferase II complex	P38211	GPI18	GPI mannosyltransferase 2 (EC 2.4.1.-) (GPI mannosyltransferase II) (GPI-MT-II) (Glycosylphosphatidylinositol-anchor biosynthesis protein 18)	433	50,759	P38211;	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:17615295}; Multi-pass membrane protein {ECO:0000269|PubMed:17615295}.	FUNCTION: Mannosyltransferase involved in glycosylphosphatidylinositol-anchor biosynthesis. Responsible for the transfer of the second mannose to the glycosylphosphatidylinositol during GPI precursor assembly. {ECO:0000269|PubMed:15623507, ECO:0000269|PubMed:15720390, ECO:0000269|PubMed:17615295}.
YBR018C	-0.5	-1	0	47	0.708350356019816	-11834.2277562592	2.15195153922369e-07	1.98144462402921e-08	10.8605181952941		metabolic		P08431	GAL7	Galactose-1-phosphate uridylyltransferase (Gal-1-P uridylyltransferase) (EC 2.7.7.12) (UDP-glucose--hexose-1-phosphate uridylyltransferase)	366	42,385	P08431;	NaN	NaN
YBR029C	-2	-1	0	54	0.70832240819567	-1583.64666326076	1.60789287765439e-06	4.49893223813397e-07	3.57394331042714		metabolic		P38221	CDS1	Phosphatidate cytidylyltransferase (EC 2.7.7.41) (CDP-diacylglycerol synthase) (CDP-DAG synthase) (CDS) (CDP-diglyceride pyrophosphorylase) (CDP-diglyceride synthase) (CDP-DG synthase) (CTP:phosphatidate cytidylyltransferase)	457	51,823	P38221;	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Multi-pass membrane protein. Cytoplasmic vesicle, secretory vesicle. Note=Exclusively present in the ER, and not in mitochondria. Also associated with post-Golgi apparatus secretory vesicles destined for the plasma membrane.	FUNCTION: Supplies CDP-diacylglycerol, which may play an important role as both a precursor to phosphoinositide biosynthesis in the plasma membrane and as a negative effector of phosphatidylinositol 4-kinase activity, thereby exerting an effect on cell proliferation via a lipid-dependent signal transduction cascade. {ECO:0000269|PubMed:2822695, ECO:0000269|PubMed:8557688}.
YBR039W	-1	-1	0	59	0.88488439783496	-14953.349672051	5.33593555735966e-07	5.47529625577155e-06	0.0974547368415912		metabolic	Mitochondrial proton-transporting ATP synthase complex	P38077	ATP3	ATP synthase subunit gamma, mitochondrial (F-ATPase gamma subunit)	311	34,351	P38077;	SUBCELLULAR LOCATION: Mitochondrion. Mitochondrion inner membrane; Peripheral membrane protein.	FUNCTION: Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(1) domain and the central stalk which is part of the complex rotary element. The gamma subunit protrudes into the catalytic domain formed of alpha(3)beta(3). Rotation of the central stalk against the surrounding alpha(3)beta(3) subunits leads to hydrolysis of ATP in three separate catalytic sites on the beta subunits.
YBR070C	-0.5	-1	0	66	0.735356742996254	-1722588.0933469	1.67991415664253e-09	8.23208877616002e-08	0.0204069003909133		metabolic	UDP-N-acetylglucosamine transferase complex	P38242	ALG14	UDP-N-acetylglucosamine transferase subunit ALG14 (Asparagine-linked glycosylation protein 14)	237	27,035	P38242;	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:15282802, ECO:0000269|PubMed:16100110, ECO:0000269|PubMed:17686769}; Single-pass membrane protein {ECO:0000255}. Nucleus membrane {ECO:0000269|PubMed:15282802}; Single-pass membrane protein {ECO:0000255}.	FUNCTION: Involved in protein N-glycosylation. Essential for the second step of the dolichol-linked oligosaccharide pathway. Anchors the catalytic subunit ALG13 to the ER. {ECO:0000269|PubMed:15615718, ECO:0000269|PubMed:16100110}.
YBR084W	-4	-1	0	67	0.468727459688664	-39865.3152896533	2.32741773041238e-08	2.71850373538308e-06	0.00856139243113606		metabolic		P09440	MIS1	C-1-tetrahydrofolate synthase, mitochondrial (C1-THF synthase) [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]	975	106,217	P09440;	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:3528153}.	NaN
YBR085W	-1	-1	0	68	0.891783037538924	-22869.1519665122	3.73592584394151e-07	2.39304906283722e-07	1.56115722905914	YBL030C	metabolic		P18238	AAC3	ADP,ATP carrier protein 3 (ADP/ATP translocase 3) (Adenine nucleotide translocator 3) (ANT 3)	307	33,313	P18238;	SUBCELLULAR LOCATION: Mitochondrion inner membrane; Multi-pass membrane protein.	FUNCTION: Catalyzes the exchange of ADP and ATP across the mitochondrial inner membrane.
YBR110W	-0.5	-1	0	72	0.735356742996254	-1722588.0933469	1.67991415664253e-09	3.86716728554494e-07	0.00434404315252115		metabolic		P16661	ALG1	Chitobiosyldiphosphodolichol beta-mannosyltransferase (EC 2.4.1.142) (Asparagine-linked glycosylation protein 1) (Beta-1,4-mannosyltransferase) (GDP-Man:GlcNAc2-PP-dolichol mannosyltransferase) (GDP-mannose-dolichol diphosphochitobiose mannosyltransferase)	449	51,929	P16661;	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.	FUNCTION: Participates in the formation of the lipid-linked precursor oligosaccharide for N-glycosylation. Involved in assembling the dolichol-pyrophosphate-GlcNAc(2)-Man(5) intermediate on the cytoplasmic surface of the ER.
YBR115C	-0.5	-1	0	74	0.911509677669649	-13636.1246186571	7.74790642518189e-07	3.61829018300987e-06	0.214131704017636		metabolic		P07702	LYS2	L-2-aminoadipate reductase (EC 1.2.1.31) (EC 1.2.1.95) (Alpha-aminoadipate reductase) (Alpha-AR) (L-aminoadipate-semialdehyde dehydrogenase)	1392	155,346	P07702;	NaN	FUNCTION: Catalyzes the activation of alpha-aminoadipate by ATP-dependent adenylation and the reduction of activated alpha-aminoadipate by NADPH. The activated alpha-aminoadipate is bound to the phosphopantheinyl group of the enzyme itself before it is reduced to (S)-2-amino-6-oxohexanoate. {ECO:0000269|PubMed:10320345}.
YBR126C	-0.5	-1	0	77	0.708333333333333	-1325.94232934275	1.92049600121031e-06	2.51748761410475e-06	0.762862144961638		metabolic	Trehalose-6-phosphate synthase/phosphatase variant 2	Q00764	TPS1	Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit (EC 2.4.1.15) (General glucose sensor subunit 1) (Glycogen metabolism control protein GLC6) (Trehalose synthase complex catalytic subunit TPS1) (Trehalose-6-phosphate synthase) (UDP-glucose-glucosephosphate glucosyltransferase)	495	56,148	Q00764;	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}.	FUNCTION: Synthase catalytic subunit of the trehalose synthase complex that catalyzes the production of trehalose from glucose-6-phosphate and UDP-alpha-D-glucose in a two step process. Can function independently of the complex. {ECO:0000269|PubMed:9194697}.
YBR145W	-2.5	-1	0	80	0.819325709671559	-634.508126639012	7.47294643462134e-06	4.53722102313936e-07	16.4703160734513	YOL086C	metabolic		P38113	ADH5	Alcohol dehydrogenase 5 (EC 1.1.1.1) (Alcohol dehydrogenase V)	351	37,648	P38113;	NaN	NaN
YBR159W	-0.5	-1	0	84	0.703497302381317	-1665637.96425906	1.49410099620138e-09	4.26919952810159e-06	0.000349972163719828		metabolic		P38286	IFA38	Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.330) (3-ketoacyl-CoA reductase) (3-ketoreductase) (KAR) (Microsomal beta-keto-reductase)	347	38,708	P38286;	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000255|HAMAP-Rule:MF_03107}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_03107}.	FUNCTION: Component of the microsomal membrane bound fatty acid elongation system, which produces the 26-carbon very long-chain fatty acids (VLCFA) from palmitate. Catalyzes the reduction of the 3-ketoacyl-CoA intermediate that is formed in each cycle of fatty acid elongation. VLCFAs serve as precursors for ceramide and sphingolipids. {ECO:0000255|HAMAP-Rule:MF_03107, ECO:0000269|PubMed:11792704, ECO:0000269|PubMed:12087109, ECO:0000269|PubMed:12684876}.
YBR166C	-0.5	-1	0	86	0.725894948245206	-190794.698543664	1.45503331356822e-08	5.30299672324727e-07	0.0274379447980732		metabolic		P20049	TYR1	Prephenate dehydrogenase [NADP(+)] (PRDH) (EC 1.3.1.13)	452	50,923	P20049;	NaN	NaN
YBR196C	-0.5	-1	0	91	0.820922356198217	-307.369241760727	1.55928686349801e-05	3.19998520682592e-05	0.487279397470925		metabolic		P12709	PGI1	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	554	61,299	P12709;	SUBCELLULAR LOCATION: Cytoplasm.	NaN
