protein	priority	correlation	p_value	index_in_Model	ratio	slope	prot_abun(max_production)	ref_abun(paxdb)	abun_fold	homolougous_gene	metabolic/secretoy	complex/not	Entry	Entry name	Protein names	Length	Mass	Cross-reference (PaxDb)	Subcellular location [CC]	Function [CC]
YAL054C	-4.5	-1	0	17	0.6375	-80956581.1929183	8.50850848298299e-12	9.54347966259482e-07	8.91552010775656e-06		metabolic		Q01574	ACS1	Acetyl-coenzyme A synthetase 1 (EC 6.2.1.1) (Acetate--CoA ligase 1) (Acyl-activating enzyme 1)	713	79,141	Q01574;	SUBCELLULAR LOCATION: Microsome {ECO:0000305}. Cytoplasm. Mitochondrion. Nucleus.	FUNCTION: Catalyzes the production of acetyl-CoA. Provides the acetyl-CoA source for histone acetylation in the nucleus. 'Aerobic' isozyme of acetyl-coenzyme A synthetase, which supports growth on nonfermentable carbon sources such as glycerol and ethanol. May be required for assimilation of ethanol and acetate. {ECO:0000269|PubMed:16857587, ECO:0000269|PubMed:8910545}.
YAR015W	-0.5	-1	0	21	0.6375	-302.340091406735	2.27829446841896e-06	2.82379789414791e-06	0.806819239131998		metabolic		P27616	ADE1	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	306	34,603	P27616;	NaN	NaN
YBL015W	-4.5	-1	0	26	0.6375	-8824996.6885974	7.80532596372819e-11	1.12951915765917e-06	6.91030861300669e-05		metabolic		P32316	ACH1	Acetyl-CoA hydrolase (EC 3.1.2.1) (Acetyl-CoA deacylase) (Acetyl-CoA acylase)	526	58,712	P32316;	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11502169}.	FUNCTION: Presumably involved in regulating the intracellular acetyl-CoA pool for fatty acid and cholesterol synthesis and fatty acid oxidation. It may be involved in overall regulation of acetylation during melatonin synthesis.
YBL020W	4	1	0	27	5.2084215165153	8470.25859066448	5.73439998887583e-08	1.84743387651033e-09	31.0398118264871		metabolic		P38206	RFT1	Oligosaccharide translocation protein RFT1 (Requiring fifty-three protein 1)	574	66,211	P38206;	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:11807558}; Multi-pass membrane protein {ECO:0000269|PubMed:11807558}.	FUNCTION: Involved in N-linked oligosaccharide assembly. Required for the translocation of Man(5)GlcNAc(2)-PP-dolichol from the cytoplasmic side to the lumenal side of the endoplasmic reticulum membrane. {ECO:0000269|PubMed:11807558}.
YBL039C	-3.5	-1	0	30	0.6375	-4064.20859969951	1.6948435124225e-07	6.43251588090644e-06	0.0263480657304444	YJR103W	metabolic		P28274	URA7	CTP synthase 1 (EC 6.3.4.2) (CTP synthetase 1) (UTP--ammonia ligase 1)	579	64,710	P28274;	NaN	FUNCTION: Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen.
YBL045C	-2	-1	0	32	0.595938013942803	-170.078799250503	3.40328951171978e-06	3.75230093052875e-06	0.906987359150911		metabolic	Mitochondrial respiratory chain complex III	P07256	COR1	Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome c oxidoreductase core protein 1) (Ubiquinol-cytochrome c reductase 44 kDa protein)	457	50,228	P07256;	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:11502169, ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554}; Peripheral membrane protein {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554}; Matrix side {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554}.	FUNCTION: Component of the ubiquinol-cytochrome c oxidoreductase, a multisubunit transmembrane complex that is part of the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and the ATP synthase. The cytochrome b-c1 complex catalyzes electron transfer from ubiquinol to cytochrome c, linking this redox reaction to translocation of protons across the mitochondrial inner membrane, with protons being carried across the membrane as hydrogens on the quinol. In the process called Q cycle, 2 protons are consumed from the matrix, 4 protons are released into the intermembrane space and 2 electrons are passed to cytochrome c. {ECO:0000305|PubMed:11880631}.
YBL076C	-0.5	-1	0	35	0.700933865355586	-776.890264630655	1.16839902441861e-06	9.16059181254086e-06	0.127546238095564		metabolic		P09436	ILS1	Isoleucine--tRNA ligase, cytoplasmic (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	1072	122,984	P09436;	SUBCELLULAR LOCATION: Cytoplasm.	NaN
YBL082C	2	1	0	37	5.2084215165153	8470.25859066448	5.73439998887583e-08	2.15374415655349e-07	0.266252608111645		metabolic		P38179	ALG3	Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (EC 2.4.1.258) (Asparagine-linked glycosylation protein 3) (Dol-P-Man-dependent alpha(1-3)-mannosyltransferase) (Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase) (Dolichyl-phosphate-mannose--glycolipid alpha-mannosyltransferase) (HM-1 killer toxin resistance protein)	458	52,861	P38179;	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	FUNCTION: Adds the first Dol-P-Man derived mannose in an alpha-1,3 linkage to Man(5)GlcNAc(2)-PP-Dol. Sensitive to H.mrakii HM-1 killer toxin. {ECO:0000269|PubMed:11308030, ECO:0000269|PubMed:9108275}.
YBL098W	-4.5	-1	0	39	0.6375	-169050.106708	4.07464846516213e-09	1.98144462402921e-07	0.0205640289703198		metabolic		P38169	BNA4	Kynurenine 3-monooxygenase (EC 1.14.13.9) (Biosynthesis of nicotinic acid protein 4) (Kynurenine 3-hydroxylase)	460	52,429	P38169;	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000255|HAMAP-Rule:MF_03018, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:16407407}.	FUNCTION: Catalyzes the hydroxylation of L-kynurenine (L-Kyn) to form 3-hydroxy-L-kynurenine (L-3OHKyn). Required for synthesis of quinolinic acid. {ECO:0000255|HAMAP-Rule:MF_03018, ECO:0000269|PubMed:12062417, ECO:0000269|PubMed:15806102, ECO:0000269|PubMed:23575632}.
YBL099W	-3	-1	0	40	0.000321683551425695	-4008.0369671577	2.83333332483333e-11	7.37059111353862e-06	3.84410596272115e-06		metabolic	Mitochondrial proton-transporting ATP synthase complex	P07251	ATP1	ATP synthase subunit alpha, mitochondrial	545	58,608	P07251;	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:11502169}. Note=Peripheral membrane protein.	FUNCTION: Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Subunits alpha and beta form the catalytic core in F(1). Rotation of the central stalk against the surrounding alpha(3)beta(3) subunits leads to hydrolysis of ATP in three separate catalytic sites on the beta subunits. Subunit alpha does not bear the catalytic high-affinity ATP-binding sites (By similarity). {ECO:0000250}.
YBR004C	-0.5	-1	0	44	0.631460085533341	-14170188.0859171	4.73818675863574e-11	1.58898457772391e-09	0.0298189600142174		metabolic	Glycosylphosphatidylinositol-mannosyltransferase II complex	P38211	GPI18	GPI mannosyltransferase 2 (EC 2.4.1.-) (GPI mannosyltransferase II) (GPI-MT-II) (Glycosylphosphatidylinositol-anchor biosynthesis protein 18)	433	50,759	P38211;	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:17615295}; Multi-pass membrane protein {ECO:0000269|PubMed:17615295}.	FUNCTION: Mannosyltransferase involved in glycosylphosphatidylinositol-anchor biosynthesis. Responsible for the transfer of the second mannose to the glycosylphosphatidylinositol during GPI precursor assembly. {ECO:0000269|PubMed:15623507, ECO:0000269|PubMed:15720390, ECO:0000269|PubMed:17615295}.
YBR018C	-0.5	-1	0	47	0.649962782016808	-3307.31944355733	2.19858078550871e-07	1.98144462402921e-08	11.0958477408163		metabolic		P08431	GAL7	Galactose-1-phosphate uridylyltransferase (Gal-1-P uridylyltransferase) (EC 2.7.7.12) (UDP-glucose--hexose-1-phosphate uridylyltransferase)	366	42,385	P08431;	NaN	NaN
YBR021W	-2.5	-1	0	50	0.6375	-1249.23915928859	5.51391423100689e-07	1.33053527893749e-08	41.4413230396271		metabolic		P05316	FUR4	Uracil permease	633	71,736	P05316;	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	FUNCTION: Transport of uracil.
YBR029C	-2	-1	0	54	0.637493698928193	-428.90722819517	1.60594473761302e-06	4.49893223813397e-07	3.56961308285702		metabolic		P38221	CDS1	Phosphatidate cytidylyltransferase (EC 2.7.7.41) (CDP-diacylglycerol synthase) (CDP-DAG synthase) (CDS) (CDP-diglyceride pyrophosphorylase) (CDP-diglyceride synthase) (CDP-DG synthase) (CTP:phosphatidate cytidylyltransferase)	457	51,823	P38221;	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Multi-pass membrane protein. Cytoplasmic vesicle, secretory vesicle. Note=Exclusively present in the ER, and not in mitochondria. Also associated with post-Golgi apparatus secretory vesicles destined for the plasma membrane.	FUNCTION: Supplies CDP-diacylglycerol, which may play an important role as both a precursor to phosphoinositide biosynthesis in the plasma membrane and as a negative effector of phosphatidylinositol 4-kinase activity, thereby exerting an effect on cell proliferation via a lipid-dependent signal transduction cascade. {ECO:0000269|PubMed:2822695, ECO:0000269|PubMed:8557688}.
YBR039W	-3	-1	0	59	0.000321683551425695	-12024.1109014731	9.44444441611111e-12	5.47529625577155e-06	1.72491934224667e-06		metabolic	Mitochondrial proton-transporting ATP synthase complex	P38077	ATP3	ATP synthase subunit gamma, mitochondrial (F-ATPase gamma subunit)	311	34,351	P38077;	SUBCELLULAR LOCATION: Mitochondrion. Mitochondrion inner membrane; Peripheral membrane protein.	FUNCTION: Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(1) domain and the central stalk which is part of the complex rotary element. The gamma subunit protrudes into the catalytic domain formed of alpha(3)beta(3). Rotation of the central stalk against the surrounding alpha(3)beta(3) subunits leads to hydrolysis of ATP in three separate catalytic sites on the beta subunits.
YBR069C	0	0.5	0.0602091341911423	65	1.45911987186943	61.2228592199486	8.53460256947828e-06	8.23208877616002e-07	10.3674812086506		metabolic		P38085	TAT1	Valine/tyrosine/tryptophan amino-acid permease 1 (Tyrosine and tryptophan amino acid transporter 1)	619	68,758	P38085;	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	FUNCTION: High-affinity transport of valine and tyrosine. Low-affinity transport of tryptophan. Can also transport L-cysteine. {ECO:0000269|PubMed:10467005}.
YBR070C	2	1	0	66	5.2084215165153	8470.25859066448	5.73439998887583e-08	8.23208877616002e-08	0.69659112587349		metabolic	UDP-N-acetylglucosamine transferase complex	P38242	ALG14	UDP-N-acetylglucosamine transferase subunit ALG14 (Asparagine-linked glycosylation protein 14)	237	27,035	P38242;	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:15282802, ECO:0000269|PubMed:16100110, ECO:0000269|PubMed:17686769}; Single-pass membrane protein {ECO:0000255}. Nucleus membrane {ECO:0000269|PubMed:15282802}; Single-pass membrane protein {ECO:0000255}.	FUNCTION: Involved in protein N-glycosylation. Essential for the second step of the dolichol-linked oligosaccharide pathway. Anchors the catalytic subunit ALG13 to the ER. {ECO:0000269|PubMed:15615718, ECO:0000269|PubMed:16100110}.
YBR110W	2	1	0	72	5.2084215165153	8470.25859066448	5.73439998887583e-08	3.86716728554494e-07	0.148284249567129		metabolic		P16661	ALG1	Chitobiosyldiphosphodolichol beta-mannosyltransferase (EC 2.4.1.142) (Asparagine-linked glycosylation protein 1) (Beta-1,4-mannosyltransferase) (GDP-Man:GlcNAc2-PP-dolichol mannosyltransferase) (GDP-mannose-dolichol diphosphochitobiose mannosyltransferase)	449	51,929	P16661;	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.	FUNCTION: Participates in the formation of the lipid-linked precursor oligosaccharide for N-glycosylation. Involved in assembling the dolichol-pyrophosphate-GlcNAc(2)-Man(5) intermediate on the cytoplasmic surface of the ER.
YBR115C	-0.5	-1	0	74	0.44922740576466	-1661.67736914779	1.93312376400019e-07	3.61829018300987e-06	0.0534264436024897		metabolic		P07702	LYS2	L-2-aminoadipate reductase (EC 1.2.1.31) (EC 1.2.1.95) (Alpha-aminoadipate reductase) (Alpha-AR) (L-aminoadipate-semialdehyde dehydrogenase)	1392	155,346	P07702;	NaN	FUNCTION: Catalyzes the activation of alpha-aminoadipate by ATP-dependent adenylation and the reduction of activated alpha-aminoadipate by NADPH. The activated alpha-aminoadipate is bound to the phosphopantheinyl group of the enzyme itself before it is reduced to (S)-2-amino-6-oxohexanoate. {ECO:0000269|PubMed:10320345}.
YBR126C	-0.5	-1	0	77	0.6375	-358.667634506476	1.92049600121031e-06	2.51748761410475e-06	0.762862144961638		metabolic	Trehalose-6-phosphate synthase/phosphatase variant 2	Q00764	TPS1	Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit (EC 2.4.1.15) (General glucose sensor subunit 1) (Glycogen metabolism control protein GLC6) (Trehalose synthase complex catalytic subunit TPS1) (Trehalose-6-phosphate synthase) (UDP-glucose-glucosephosphate glucosyltransferase)	495	56,148	Q00764;	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}.	FUNCTION: Synthase catalytic subunit of the trehalose synthase complex that catalyzes the production of trehalose from glucose-6-phosphate and UDP-alpha-D-glucose in a two step process. Can function independently of the complex. {ECO:0000269|PubMed:9194697}.
YBR145W	-2.5	-1	0	80	0.721362987192683	-138.047804808567	7.30869100367206e-06	4.53722102313936e-07	16.1082983755883	YOL086C	metabolic		P38113	ADH5	Alcohol dehydrogenase 5 (EC 1.1.1.1) (Alcohol dehydrogenase V)	351	37,648	P38113;	NaN	NaN
YBR159W	-0.5	-1	0	84	0.63146008553334	-976899.759188769	6.87286458252637e-10	4.26919952810159e-06	0.000160987195311121		metabolic		P38286	IFA38	Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.330) (3-ketoacyl-CoA reductase) (3-ketoreductase) (KAR) (Microsomal beta-keto-reductase)	347	38,708	P38286;	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000255|HAMAP-Rule:MF_03107}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_03107}.	FUNCTION: Component of the microsomal membrane bound fatty acid elongation system, which produces the 26-carbon very long-chain fatty acids (VLCFA) from palmitate. Catalyzes the reduction of the 3-ketoacyl-CoA intermediate that is formed in each cycle of fatty acid elongation. VLCFAs serve as precursors for ceramide and sphingolipids. {ECO:0000255|HAMAP-Rule:MF_03107, ECO:0000269|PubMed:11792704, ECO:0000269|PubMed:12087109, ECO:0000269|PubMed:12684876}.
YBR166C	-0.5	-1	0	86	0.558518007402895	-52831.1209217123	9.38109711131972e-09	5.30299672324727e-07	0.0176901808560335		metabolic		P20049	TYR1	Prephenate dehydrogenase [NADP(+)] (PRDH) (EC 1.3.1.13)	452	50,923	P20049;	NaN	NaN
YBR196C	-0.5	-1	0	91	0.723755855222821	-67.6353255934714	1.50952815841337e-05	3.19998520682592e-05	0.471729730247933		metabolic		P12709	PGI1	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	554	61,299	P12709;	SUBCELLULAR LOCATION: Cytoplasm.	NaN
